study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S085,2025,Ceranoglu et al.,ADHD,clinical,adult,Open-Label Pilot,transcranial,NA,NA,16,no blinding,no control group,ADHD Symptoms,mixed,30,Efficacy of tPBM on ADHD symptoms and Executive Function Deficits in Adults with high-functioning Autism Spectrum Disorder - PMC,Pubmed
S028,2025,Ceranoglu et al.,ADHD,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Autism Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S085,2025,Ceranoglu et al.,ADHD,clinical,adult,Open-Label Pilot,transcranial,NA,NA,16,no blinding,no control group,Cognitive Function,mixed,30,Efficacy of tPBM on ADHD symptoms and Executive Function Deficits in Adults with high-functioning Autism Spectrum Disorder - PMC,Pubmed
S028,2025,Ceranoglu et al.,ADHD,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Emotional Regulation,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,ADHD,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Social Behavior,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,ADHD Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Autism Symptoms,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Emotional Regulation,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S028,2025,Ceranoglu et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,NA,NA,NA,no blinding,no control group,Social Behavior,positive,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S093,2025,Chan et al.,Alzheimer's,clinical,geriatric,Open-Label Pilot,transcranial,810,20,20,no blinding,no control group,Cognitive Function,positive,1,Effects of whole-head 810 nm near-infrared therapy on cognitive and neuropsychiatric symptoms in Alzheimer's disease: A pilot study,PubMed
S093,2025,Chan et al.,Alzheimer's,clinical,geriatric,Open-Label Pilot,transcranial,810,20,20,no blinding,no control group,Mood,positive,1,Effects of whole-head 810 nm near-infrared therapy on cognitive and neuropsychiatric symptoms in Alzheimer's disease: A pilot study,PubMed
S098,2025,Coelho et al.,Chronic Pain,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Mood,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Chronic Pain,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Pain,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Mood,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S098,2025,Coelho et al.,Major Depressive Disorder,clinical,adult,Controlled Trial,transcranial,905,NA,NA,not reported,NA,Pain,positive,30,Treating neuropathic pain and comorbid affective disorders: Preclinical and clinical evidence - Coelho - 2024,Wiley
S037,2025,Fradkin et al.,Autism Spectrum Disorder,clinical,pediatric,Open-Label Pilot,transcranial,850,12,20,no blinding,no control group,Autism Symptoms,positive,23,Transcranial photobiomodulation for reducing symptoms of autism spectrum disorder and modulating brain electrophysiology in children aged 2–7: an open label study - PMC,PubMed
S082,2025,Guu et al.,Insomnia,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Depression,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S082,2025,Guu et al.,Insomnia,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S082,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Depression,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S006,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Mood,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",PubMed
S006,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",PubMed
S082,2025,Guu et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,850,40,56,double-blind,sham-controlled,Sleep,mixed,48,"Wearable, self-administered transcranial photobiomodulation for major depressive disorder and sleep: A randomized, double blind, sham-controlled trial",ScienceDirect
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
