study_id,year,author,condition,population_type,population_age,outcome_cat,outcome_direction,blinding,control_type,wavelength_nm,session_duration_min,session_count,study_design,application,sample,source,publisher
S012,2024,Karr et al.,Brain Injury,clinical,adult,Cognitive function; Mood,mixed,,sham-controlled,,40,18,RCT,transcrainial,15,Treatment of chronic symptoms following mild traumatic brain injury with transcranial LED: a sham run-in pilot study of photobiomodulation therapy - PubMed,PubMed
S013,2020,Figueiro Longo et al.,Brain Injury,clinical,adult,Cognitive function; Mood,inconclusive,double-blind,placebo-controlled,,20,3,RCT,transcrainial,68,Effect of Transcranial Low-Level Light Therapy vs Sham Therapy Among Patients With Moderate Traumatic Brain Injury: A Randomized Clinical Trial - PubMed,PubMed
S014,2025,Lok Lee et al.,Brain Injury,clinical,adult,PTSD symptoms; Cognitive function,positive,single-blind,sham-controlled,810,12,18,RCT,transcrainial,17,"Transcranial Photobiomodulation Improves Cognitive Function, Post-Concussion, and PTSD Symptoms in Mild Traumatic Brain Injury - PubMed",Sage Journals
S015,2025,Mehdizadeh et al.,Insomnia,clinical,adult,Sleep quality; Daytime sleepiness,positive,double-blind,sham-controlled,810,10,3,RCT,transcrainial,30,"Transcranial photobiomodulation improves sleep quality, reduces daytime sleepiness, and modulates delta power in chronic insomnia: a randomized controlled trial | Lasers in Medical Science | Springer Nature Link",Springer
S016,2025,Huang et al.,Major Depressive Disorder,clinical,adult,Cognitive function; Depression; Anxiety,positive,single-blind,sham-controlled,630,30,36,RCT,transcrainial,82,Red-light photobiomodulation improves cognition and neuropsychiatric symptoms in post-stroke cognitive impairment: a randomized trial,Frontiers
S017,2013,Barrett et al.,Healthy cognition / mood (non-clinical),healthy,adult,Cognitive function; Mood,positive,single-blind,placebo-controlled,1064,8,1,Controlled trial,transcrainial,20,Transcranial infrared laser stimulation produces beneficial cognitive and emotional effects in humans - Neuroscience,Elsevier
S018,2006,Glickman et al.,Seasonal affective disorder,clinical,adult,Depression,positive,single-blind,placebo-controlled,468,45,21,RCT,peripheral,24,Original article Light Therapy for Seasonal Affective Disorder with Blue Narrow-Band Light-Emitting Diodes (LEDs),ScienceDirect
S019,2017,Videnovic et al.,Sleepiness; Parkinson Disease,clinical,adult,Sleep quality; Daytime sleepiness,positive,single-blind,placebo-controlled,,60,28,RCT,peripheral,31,Timed Light Therapy for Sleep and Daytime Sleepiness Associated With Parkinson Disease: A Randomized Clinical Trial | Sleep Medicine | JAMA Neurology,JAMA Neurology
S020,2001,Eagles et al.,Seasonal affective disorder,clinical,adult,Depression,inconclusive,,placebo-controlled,750,60,28,RCT,peripheral,57,Light therapy for seasonal affective disorder in primary care | The British Journal of Psychiatry | Cambridge Core,Cambridge University Press
S021,2011,Naeser et al.,Traumatic Brain Injury,clinical,adult,Cognitive function,positive,no blinding,no control group,870,10,116,Clinical study,transcranial,2,"Improved Cognitive Function After Transcranial, Light-Emitting Diode Treatments in Chronic, Traumatic Brain Injury: Two Case Reports",Mary Ann Liebert
